schema,table,column,type,mandatory,description
refs_data,coverage_types,name_fr,text,YES,French label describing the coverage type used as the denominator in sampling coverage calculations
refs_data,coverage_types,description_en,text,YES,English description explaining how this coverage type is used as the denominator for calculating sampling coverage
refs_data,coverage_types,description_fr,text,YES,French description explaining how this coverage type is used as the denominator for calculating sampling coverage
refs_data,datasets,code,character(2),YES,"Unique code identifying the dataset type (e.g., CE, DI, FA)"
refs_data,datasets,name_en,character varying(255),YES,"English label of the dataset type, concise and suitable for code lists"
refs_data,datasets,name_fr,character varying(255),YES,"French label of the dataset type, concise and suitable for code lists"
refs_data,datasets,description_en,character varying(4096),YES,English description explaining the content and purpose of the dataset
refs_data,datasets,description_fr,character varying(4096),YES,French description explaining the content and purpose of the dataset
refs_data,estimations,code,character(2),YES,
refs_data,estimations,name_en,character varying(255),YES,
refs_data,estimations,name_fr,character varying(255),YES,
refs_data,logical_responses,code,character varying(5),YES,
refs_data,logical_responses,name_en,character varying(255),YES,
refs_data,logical_responses,name_fr,character varying(255),YES,
refs_data,logical_responses,description_en,character varying(255),YES,
refs_data,logical_responses,description_fr,character varying(255),YES,
refs_data,processings,dataset_code,character(2),YES,"Type of data: CE = Catch & Effort, FA = FAD-related, DI = Discards, FC = Fishing Crafts, RC = Retained Catches, SF = Fish length/weight frequency"
refs_data,processings,code,character(2),YES,"Short code identifying the processing method (e.g., BR, EP, ES, LS, NO, SB, SP, SS, TE, UN, OR, AR, AU, etc.)"
refs_data,processings,name_en,text,YES,English short name of the processing method
refs_data,processings,name_fr,text,YES,French short name of the processing method
refs_data,processings,description_en,character varying(4096),YES,"Detailed English description of the processing method, including how data are estimated, sampled, or aggregated"
refs_data,processings,description_fr,character varying(4096),YES,"Detailed French description of the processing method, including how data are estimated, sampled, or aggregated"
refs_data,raisings,code,character(2),YES,
refs_data,raisings,name_en,character varying(255),YES,
refs_data,raisings,name_fr,character varying(255),YES,
refs_data,raisings,description_en,character varying(4096),YES,
refs_data,raisings,description_fr,character varying(4096),YES,
refs_data,sources,dataset_code,character(2),YES,"Type of data: CE = Catch & Effort, DI = Discards, FA = FAD-related activities, FC = Fishing Crafts, RC = Retained Catches, RO = Regional Observer data, SF = Fish length/weight frequency"
refs_data,sources,code,character(2),YES,"Short code identifying the source within the data type (e.g., EL, LG, OB, RS, TR, UN, GV, RG, PA, PR, CS, EM)"
refs_data,sources,name_en,character varying(255),YES,English description of the source code
refs_data,sources,name_fr,character varying(255),YES,French description of the source code
refs_data,sources,description_en,character varying(4096),YES,Detailed English description of what the source represents or how the data are collected/monitored
refs_data,sources,description_fr,character varying(4096),YES,Detailed French description of what the source represents or how the data are collected/monitored
refs_data,types,code,character(2),YES,
refs_data,types,name_en,character varying(255),YES,
refs_data,types,name_fr,character varying(255),YES,
refs_data,types,description_en,character varying(4096),YES,
refs_data,types,description_fr,character varying(4096),YES,
refs_fishery,bait_fishing_methods,code,character(2),YES,
refs_fishery,bait_fishing_methods,code_orig,character varying(3),YES,
refs_fishery,bait_fishing_methods,name_en,character varying(255),YES,
refs_fishery,bait_fishing_methods,name_fr,character varying(255),YES,
refs_fishery,bait_fishing_methods,description_en,character varying(4096),YES,
refs_fishery,bait_fishing_methods,description_fr,character varying(4096),YES,
refs_fishery,bait_school_detection_methods,code,character(2),YES,
refs_fishery,bait_school_detection_methods,code_orig,character varying(3),YES,
refs_fishery,bait_school_detection_methods,name_en,character varying(255),YES,
refs_fishery,bait_school_detection_methods,name_fr,character varying(255),YES,
refs_fishery,bait_school_detection_methods,description_en,character varying(4096),YES,
refs_fishery,bait_school_detection_methods,description_fr,character varying(4096),YES,
refs_fishery,branchline_storages,code,character(2),YES,
refs_fishery,branchline_storages,code_orig,character varying(16),YES,
refs_fishery,branchline_storages,name_en,character varying(255),YES,
refs_fishery,branchline_storages,name_fr,character varying(255),YES,
refs_fishery,branchline_storages,description_en,character varying(4096),YES,
refs_fishery,branchline_storages,description_fr,character varying(4096),YES,
refs_fishery,buoy_activity_types,code,character(2),YES,
refs_fishery,buoy_activity_types,name_en,character varying(255),YES,
refs_fishery,buoy_activity_types,name_fr,character varying(255),YES,
refs_fishery,buoy_activity_types,description_en,character varying(4096),YES,
refs_fishery,buoy_activity_types,description_fr,character varying(4096),YES,
refs_fishery,buoy_models,code,character varying(10),YES,
