schema,table,column,type,mandatory,description
ros_ps,additional_catch_details_on_ssi,brought_on_board,character varying(5),NO,
ros_ps,additional_catch_details_on_ssi,revival,character varying(5),NO,
ros_ps,catch_details,id,integer,YES,
ros_ps,catch_details,catch_detail_original_id,character varying(255),YES,
ros_ps,catch_details,comments,text,NO,
ros_ps,catch_details,estimated_catch_in_numbers,integer,NO,
ros_ps,catch_details,fishing_event_id,integer,YES,
ros_ps,catch_details,type_of_fate_code,character(2),YES,
ros_ps,catch_details,estimated_weight_sampling_method_code,character(2),NO,
ros_ps,catch_details,fates_code,character(2),NO,
ros_ps,catch_details,species_code,character varying(16),NO,
ros_ps,catch_details,estimated_weight_value,double precision,NO,
ros_ps,catch_details,estimated_weight_unit,character varying(3),NO,
ros_ps,catch_details,estimated_weight_type_of_measurement_code,character(2),NO,
ros_ps,catch_details,estimated_weight_processing_type_code,character(2),NO,
ros_ps,catch_details,estimated_weight_method_code,character(2),NO,
ros_ps,cetaceans_whale_shark_sightings,id,integer,YES,
ros_ps,cetaceans_whale_shark_sightings,number_sighted,integer,NO,
ros_ps,cetaceans_whale_shark_sightings,setting_operation_id,integer,YES,
ros_ps,cetaceans_whale_shark_sightings,species_code,character varying(16),NO,
ros_ps,cetaceans_whale_shark_sightings,caught_inside_the_net,character varying(5),NO,
ros_ps,cetaceans_whale_shark_sightings,sighting_occurred_before_setting,character varying(5),NO,
ros_ps,fishing_events,id,integer,YES,
ros_ps,fishing_events,comments,text,NO,
ros_ps,fishing_events,event_original_id,character varying(255),NO,
ros_ps,fishing_events,setting_operation_id,integer,YES,
ros_ps,fishing_events,trip_id,integer,YES,
ros_ps,gear_specifications,id,integer,YES,
ros_ps,gear_specifications,trip_id,integer,YES,
ros_ps,gear_specifications,maximum_brail_capacity,double precision,NO,
ros_ps,gear_specifications,maximum_net_depth_value,double precision,NO,
ros_ps,gear_specifications,maximum_net_depth_unit,character varying(3),NO,
ros_ps,gear_specifications,maximum_net_length_value,double precision,NO,
ros_ps,gear_specifications,maximum_net_length_unit,character varying(3),NO,
ros_ps,gear_specifications,bunt_stretched_mesh_size_value,double precision,NO,
ros_ps,gear_specifications,bunt_stretched_mesh_size_unit,character varying(3),NO,
ros_ps,gear_specifications,mid_net_stretched_mesh_size_value,double precision,NO,
ros_ps,gear_specifications,mid_net_stretched_mesh_size_unit,character varying(3),NO,
ros_ps,gear_specifications,power_block,character varying(5),NO,
ros_ps,gear_specifications,purse_winch,character varying(5),NO,
ros_ps,object_details,id,integer,YES,
ros_ps,object_details,buoy_identifier,character varying(255),NO,
ros_ps,object_details,fad_raft_design_code,character(2),NO,
ros_ps,object_details,fad_tail_design_code,character(2),NO,
ros_ps,object_details,equipped_with_artificial_lights_at_deploy,character varying(5),NO,
ros_ps,object_details,equipped_with_artificial_lights_on_retrieval,character varying(5),NO,
ros_ps,setting_operations,id,integer,YES,
ros_ps,setting_operations,maximum_closing_net_depth,double precision,NO,
ros_ps,setting_operations,school_size,double precision,NO,
ros_ps,setting_operations,start_setting_date_and_time,timestamp(6) without time zone,NO,
ros_ps,setting_operations,time_end_brailing,timestamp(6) without time zone,NO,
ros_ps,setting_operations,time_net_pursed,timestamp(6) without time zone,NO,
ros_ps,setting_operations,time_skiff_onboard,timestamp(6) without time zone,NO,
ros_ps,setting_operations,time_start_brailing,timestamp(6) without time zone,NO,
ros_ps,setting_operations,start_setting_latitude,double precision,NO,
ros_ps,setting_operations,start_setting_longitude,double precision,NO,
ros_ps,setting_operations,ps_object_detail_id,integer,NO,
ros_ps,setting_operations,first_school_detection_method_code,character(2),NO,
ros_ps,setting_operations_cl_school_sighting_cues,setting_operation_id,integer,YES,
ros_ps,setting_operations_cl_school_sighting_cues,school_sighting_cue_code,character(2),YES,
ros_ps,specimens,id,integer,YES,
ros_ps,specimens,specimen_original_id,character varying(255),YES,
ros_ps,specimens,additional_catch_details_on_ssis_id,integer,NO,
ros_ps,specimens,additional_specimen_details_non_target_species_id,integer,NO,
ros_ps,specimens,biometric_information_id,integer,NO,
ros_ps,specimens,tag_detail_id,integer,NO,
ros_ps,specimens,catch_detail_id,integer,NO,
ros_ps,tag_details,id,integer,YES,
ros_ps,tag_details,alternate_tag_original_id,character varying(255),NO,
ros_ps,tag_details,tag_original_id,character varying(255),NO,
ros_ps,tag_details,well,integer,NO,
ros_ps,tag_details,tag_type_code,character(2),NO,
ros_ps,tag_details,tag_finder_id,integer,NO,
ros_ps,tag_details,tag_recovery,character varying(5),NO,
ros_ps,tag_details,tag_release,character varying(5),NO,
ros_ll,additional_catch_details_on_ssi,id,integer,YES,
ros_ll,additional_catch_details_on_ssi,bait_type,character varying(255),NO,
ros_ll,additional_catch_details_on_ssi,photo_id,character varying(255),NO,
ros_ll,additional_catch_details_on_ssi,bait_condition_code,character(2),NO,
ros_ll,additional_catch_details_on_ssi,dehooker_device_code,character(2),NO,
