schema,table,foreign_key,columns,target_schema,target_table,target_columns
ros_ll,catch_details,fk_ros_ll_species_code_ll_catch_details,species_code,refs_biology,species,code
ros_ll,catch_details,llctchdtlsllfshngvntid,fishing_event_id,ros_ll,fishing_events,id
ros_ll,fishing_events,fk_ros_ll_fishing_events_trip,trip_id,ros_common,trip,id
ros_ll,fishing_events,llfshngvntllsttngprtnd,setting_operation_id,ros_ll,setting_operations,id
ros_ll,fishing_events,llfshngvntsllhlngprtnd,hauling_operation_id,ros_ll,hauling_operations,id
ros_ll,fishing_events,llfshngvntsllmtgtnmsrd,mitigation_measure_id,ros_ll,mitigation_measures,id
ros_ll,floatlines,fltlnsllsttngprationid,setting_operation_id,ros_ll,setting_operations,id
ros_ll,gear_specifications,fk_ros_ll_gear_specifications_bait_casting_machine,bait_casting_machine,refs_data,logical_responses,code
ros_ll,gear_specifications,fk_ros_ll_gear_specifications_line_hauler,line_hauler,refs_data,logical_responses,code
ros_ll,gear_specifications,fk_ros_ll_gear_specifications_line_setter,line_setter,refs_data,logical_responses,code
ros_ll,gear_specifications,fk_ros_ll_gear_specifications_trip,trip_id,ros_common,trip,id
ros_ll,gear_specifications,llgrspcfctionstrlndtld,tori_line_detail_id,ros_ll,tori_line_details,id
ros_ll,gear_specifications_mitigation_device,fk_ros_ll_mitigation_device_code_ll_gear_specifications_mitigat,mitigation_device_code,refs_fishery,mitigation_devices,code
ros_ll,gear_specifications_mitigation_device,llgrspcfctllgrspcfctnd,gear_specification_id,ros_ll,gear_specifications,id
ros_ll,hauling_offal_disposal_positions,llhlngffldsllhlngprtnd,hauling_operation_id,ros_ll,hauling_operations,id
ros_ll,hauling_operations,fk_ros_ll_hauling_operations_bird_scaring_device_at_hauler,bird_scaring_device_at_hauler,refs_data,logical_responses,code
ros_ll,hauling_operations,fk_ros_ll_sampling_protocol_code_ll_hauling_operations,sampling_protocol_code,refs_biology,sampling_protocols,code
ros_ll,hooks_by_type,fk_ros_ll_hook_type_code_hooks_by_type,hook_type_code,refs_fishery,hook_and_terminal_devices,code
ros_ll,hooks_by_type,hksbytypllsttngprtnsid,setting_operation_id,ros_ll,setting_operations,id
ros_ll,leader_set,fk_ros_ll_leader_set_leader_material_type_code,leader_material_type_code,refs_fishery,line_material_types,code
ros_ll,leader_set,fk_ros_ll_leader_set_setting_operation_id,setting_operation_id,ros_ll,setting_operations,id
ros_ll,lights_by_type_and_colour,fk_ros_ll_light_colour_code_lights_by_type_and_colour,light_colour_code,refs_fishery,light_colours,code
ros_ll,lights_by_type_and_colour,fk_ros_ll_light_type_code_lights_by_type_and_colour,light_type_code,refs_fishery,light_types,code
ros_ll,lights_by_type_and_colour,lghtsbytypllsttngprtnd,setting_operation_id,ros_ll,setting_operations,id
ros_ll,mitigation_measures,fk_ros_ll_mitigation_measures_branchline_weighted,branchline_weighted,refs_data,logical_responses,code
ros_ll,mitigation_measures,fk_ros_ll_mitigation_measures_hooks_pods,hooks_pods,refs_data,logical_responses,code
ros_ll,mitigation_measures,fk_ros_ll_mitigation_measures_hooks_set_between_dusk_and_dawn,hooks_set_between_dusk_and_dawn,refs_data,logical_responses,code
ros_ll,mitigation_measures,fk_ros_ll_mitigation_measures_minimum_deck_lighting_used,minimum_deck_lighting_used,refs_data,logical_responses,code
ros_ll,mitigation_measures_mitigation_devices,fk_ros_ll_mitigation_device_code_ll_mitigation_measures_mitigat,mitigation_device_code,refs_fishery,mitigation_devices,code
ros_ll,mitigation_measures_mitigation_devices,llmtgtnmsrsllmtgtnmsrd,mitigation_measure_id,ros_ll,mitigation_measures,id
ros_ll,setting_operations,fk_ros_ll_setting_operations_shark_lines_set,shark_lines_set,refs_data,logical_responses,code
ros_ll,setting_operations_target_species,fk_ros_ll_target_species_code_ll_setting_operations_target_spec,target_species_code,refs_biology,species,code
ros_ll,setting_operations_target_species,llsttngprllsttngprtnsd,setting_operation_id,ros_ll,setting_operations,id
ros_ll,specimens,ddtnlspcmndtlsnntrgtsp,additional_specimen_details_non_target_species_id,ros_common,additional_details_on_non_target_species,id
ros_ll,specimens,llllddtnlctchdtlsnsssd,additional_catch_details_on_ssis_id,ros_ll,additional_catch_details_on_ssi,id
